PROVINCIA_FALLECIMIENTO,Ratio_2020_2019
ABANCAY,1.3831967213114753
ACOBAMBA,1.5263157894736843
ACOMAYO,0.8278688524590164
AIJA,3
ALTO AMAZONAS,1.5206611570247934
AMBO,1.8243243243243243
ANDAHUAYLAS,1.5
ANGARAES,3.338235294117647
ANTA,1.1840796019900497
ANTABAMBA,1.4642857142857142
ANTONIO RAIMONDI,2.1538461538461537
AREQUIPA,1.6430750457596095
ASCOPE,2.2934362934362933
ASUNCION,2.230769230769231
ATALAYA,0.04
AYABACA,1.5555555555555556
AYMARAES,1.6329113924050633
AZANGARO,1.575
BAGUA,7.538461538461538
BARRANCA,12.702127659574469
BELLAVISTA,2.8392857142857144
BOLIVAR,1.8888888888888888
BOLOGNESI,1.8709677419354838
BONGARA,1.236842105263158
CAJABAMBA,1.062857142857143
CAJAMARCA,1.78839590443686
CAJATAMBO,0.8
CALCA,1.4475138121546962
CALLAO,2.2995019749270136
CAMANA,0.9319727891156463
CANAS,1.044776119402985
CANCHIS,1.1721311475409837
CANDARAVE,1
CANGALLO,1.2837837837837838
CANTA,0.6071428571428571
CARABAYA,3
CARAVELI,1.896551724137931
CARHUAZ,1.2871794871794873
CARLOS FERMIN FITZCARRALD,2.5161290322580645
CASMA,2.6476190476190475
CASTILLA,1.5394736842105263
CASTROVIRREYNA,2.05
CAYLLOMA,3.03
CAÑETE,2.2595155709342563
CELENDIN,2.4705882352941178
CHACHAPOYAS,1.0812720848056536
CHANCHAMAYO,1.9030732860520094
CHEPEN,7.75
CHICLAYO,8.857534246575343
CHINCHA,2.196
CHINCHEROS,1.4
CHOTA,3.6607142857142856
CHUCUITO,16.666666666666668
CHUMBIVILCAS,1.0130434782608695
CHUPACA,2.034782608695652
CHURCAMPA,1.078740157480315
CONCEPCION,3.5544554455445545
CONDESUYOS,1
CONDORCANQUI,1.75
CONTRALMIRANTE VILLAR,1.2075471698113207
CONTUMAZA,1.3888888888888888
CORONEL PORTILLO,1.556656346749226
CORONGO,2.5
COTABAMBAS,1.2857142857142858
CUSCO,1.2472783825816485
CUTERVO,1.3838383838383839
DANIEL ALCIDES CARRION,1.8620689655172413
DATEM DEL MARAÑON,49.5
DOS DE MAYO,1.148936170212766
EL COLLAO,22.22222222222222
EL DORADO,2.3636363636363638
ESPINAR,1.096774193548387
FERREÑAFE,1.75
GENERAL SANCHEZ CERRO,2.9285714285714284
GRAN CHIMU,2.5789473684210527
GRAU,4.222222222222222
HUACAYBAMBA,2.6470588235294117
HUALGAYOC,1.9230769230769231
HUALLAGA,5
HUAMALIES,1.5569620253164558
HUAMANGA,3.6419753086419755
HUANCA SANCOS,1.5333333333333334
HUANCABAMBA,2.22
HUANCANE,1.195505617977528
HUANCAVELICA,1.5404814004376368
HUANCAYO,1.510568031704095
HUANTA,1.8125
HUANUCO,1.668284789644013
HUARAL,2.3364055299539173
HUARAZ,1.4994617868675997
HUARI,0.812206572769953
HUARMEY,1.165289256198347
HUAROCHIRI,1.5933333333333333
HUAURA,2.3630573248407645
HUAYLAS,1.705521472392638
HUAYTARA,1.4565217391304348
ICA,1.5424489795918368
ILO,1.8142292490118577
ISLAY,1.6024096385542168
JAEN,2.7710843373493974
JAUJA,1.2222222222222223
JORGE BASADRE,0.875
JULCAN,6.6
JUNIN,1.2727272727272727
LA CONVENCION,1.2407809110629067
LA MAR,1.471698113207547
LA UNION,1.3333333333333333
LAMAS,1.864
LAMBAYEQUE,1.7241379310344827
LAMPA,2.619047619047619
LAURICOCHA,1.5
LEONCIO PRADO,1.6741293532338308
LIMA,2.505022774068759
LORETO,58.5
LUCANAS,0.9767441860465116
LUYA,0.9655172413793104
MANU,1.0952380952380953
MARAÑON,5.5
MARISCAL CACERES,3
MARISCAL LUZURIAGA,5.8
MARISCAL NIETO,2.3371757925072045
MARISCAL RAMON CASTILLA,11.25
MAYNAS,2.519136408243376
MELGAR,61.5
MOHO,1.1988950276243093
MORROPON,1.8514150943396226
MOYOBAMBA,1.89375
NAZCA,1.6356589147286822
OTUZCO,1.4926108374384237
OXAPAMPA,1.4816753926701571
PACASMAYO,7.052631578947368
PACHITEA,2.2982456140350878
PADRE ABAD,3.2
PAITA,5.5588235294117645
PALLASCA,1.0833333333333333
PALPA,1.2452830188679245
PARINACOCHAS,1.1818181818181819
PARURO,0.900990099009901
PASCO,3.0794701986754967
PATAZ,4.619047619047619
PAUCARTAMBO,1.4166666666666667
PICOTA,20.4
PISCO,1.8257191201353637
PIURA,6.127461139896373
POMABAMBA,0.8928571428571429
PUERTO INCA,5.8
PUNO,1.8481894150417828
QUISPICANCHI,0.9797297297297297
RECUAY,1.1
REQUENA,169
RIOJA,1.3887147335423198
RODRIGUEZ DE MENDOZA,0.6
SAN ANTONIO DE PUTINA,1.0397727272727273
SAN IGNACIO,61
SAN MARCOS,2.072463768115942
SAN MARTIN,2.088315217391304
SAN MIGUEL,5.285714285714286
SAN PABLO,7.833333333333333
SAN ROMAN,1.4966931216931216
SANCHEZ CARRION,1.2248803827751196
SANDIA,2.625
SANTA,1.8775055679287305
SANTA CRUZ,2
SANTIAGO DE CHUCO,1.9642857142857142
SATIPO,1.1950617283950618
SECHURA,2.763157894736842
SIHUAS,1
SIN REGISTRO,1.8762886597938144
SUCRE,1.7142857142857142
SULLANA,3.374819102749638
TACNA,1.5136741973840666
TAHUAMANU,15
TALARA,3.580952380952381
TAMBOPATA,1.5413153456998314
TARATA,1.1428571428571428
TARMA,1.2969696969696969
TAYACAJA,1.457142857142857
TOCACHE,1.975
TRUJILLO,1.7680262199563002
TUMBES,1.7144622991347342
UCAYALI,125
URUBAMBA,1.403061224489796
UTCUBAMBA,0.6213592233009708
VICTOR FAJARDO,2.473684210526316
VILCAS HUAMAN,1
VIRU,2.947058823529412
YAROWILCA,1.1923076923076923
YAULI,0.9153846153846154
YAUYOS,2.1666666666666665
YUNGAY,1.2732558139534884
YUNGUYO,20.545454545454547
ZARUMILLA,2.0121951219512195
